region,total,total_boy,total_girl,wenmang_boy,wenmang_girl,xiaoxue_boy,xiaoxue_girl,mid_boy,mid_girl,high_boy,high_girl,zhuanke_boy,zhuanke_girl,above_girl,above_boy
全国,1409778724,721416394,688362330,10336394,30468277,107110778,134913424,241356850,204449162,116165411,94383555,58722617,53569812,51787741,53130765
北京,21893095,11195390,10697705,44953,151885,556694,732593,2670422,2111734,1994329,1848308,1473686,1454682,3154424,3107878
天津,13866009,7144949,6721060,47148,140095,651983,793588,2283623,1897264,1279001,1169860,799307,722542,1112453,1101089
河北,74610235,37679003,36931232,293528,943716,4854092,6586135,14487038,12856353,5504624,4731184,2649009,2621399,2091169,1903020
山西,34915616,17805148,17110468,127444,305107,1900205,2531950,6682355,5897492,3111053,2589872,1692313,1570556,1453481,1343893
内蒙古,24049155,12275274,11773881,203414,571723,1916502,2342970,4172575,3425827,1923089,1621202,1288368,1110561,1079640,1015611
辽宁,42591407,21263529,21327878,120266,307831,2672399,3379449,8902370,8497997,3200080,3014881,1922401,1847313,2004973,1983508
吉林,24073453,12018319,12055134,101887,237539,1879338,2267446,4461493,4195481,2100805,1981697,936478,876760,1139784,1076022
黑龙江,31850088,15952468,15897620,143799,325086,2547677,3052342,6652074,6221528,2527708,2382274,1216971,1117336,1211175,1165652
上海,24870895,12875211,11995684,86998,341225,900498,1180241,3722332,3056150,2539390,2183706,1630736,1441028,2631586,2720709
江苏,84748016,43031586,41716430,549214,1993840,5702182,8050121,13898324,12192373,7636237,6017709,4412505,3774411,3671032,3958120
浙江,64567588,33680008,30887580,546647,1590760,6371395,7237807,11167147,8635994,5349427,4016578,2877678,2597524,2737262,2757588
安徽,61027171,31103394,29923777,785482,2386846,4924267,6497214,10110750,8456558,4573804,3445592,2353271,2057458,1665734,2027513
福建,41540086,21466757,20073329,244237,1021507,3492385,4792634,6952064,5259897,3357455,2517701,1520508,1380015,1427691,1548767
江西,45188635,23318533,21870102,200617,761002,3300230,4815763,7604419,6462124,3879382,2867633,1652629,1384756,1066522,1271194
山东,101527453,51432931,50094522,836082,2856207,6901169,9652868,17783538,15364400,8019940,6447700,4151494,3696079,3305444,3449894
河南,99365519,49832349,49533170,659054,1942396,5880336,8225566,17118823,15956947,8081813,6843517,3473854,3327974,2497825,2368460
河北,57752557,29694718,28057839,345878,1176220,4139057,5509757,9760473,8472357,5552933,4422998,2551230,2146392,2002921,2251864
湖南,66444864,33995673,32449191,309554,881939,4917231,6260953,11227649,10095393,6435270,5216175,2447492,2269445,1679813,1734428
广东,126012510,66873646,59138864,405710,1439985,6969658,9234434,23196248,18380577,13166859,9687912,5689610,5134249,4260441,4696945
广西,50126804,25916169,24210635,227209,882943,3893758,4912486,9180158,7318561,3572012,2880851,1574281,1463297,1230993,1147754
海南,10081232,5345081,4736151,51978,195454,470683,655677,2053507,1677944,906693,652406,409345,327284,314223,352313
重庆,32054159,16202133,15852026,162915,439245,3444262,4047110,4700290,4145085,2738209,2338611,1336967,1277651,1167037,1158414
四川,83674866,42289718,41385148,996112,2487370,9694916,10904368,12980407,11000855,5993028,5046937,3067583,2977683,2488429,2566066
贵州,38562148,19705293,18856855,584383,1980272,3971303,4326566,5973291,4455593,2075958,1729638,1119178,1031367,1023716,1048845
云南,47209277,24420924,22788353,661547,1620380,6299164,6631103,7264999,5175396,2645078,2198055,1473581,1400232,1345486,1256782
西藏,3648100,1913588,1734512,321382,481606,469555,349859,305732,170665,145074,107408,104035,84939,101365,111615
陕西,39528999,20226490,19302509,345563,842940,2515218,3211815,6659911,5724642,3339304,2766610,2008452,1795758,1702192,1764389
甘肃,25019831,12700948,12318883,503665,1273003,2466093,2944325,3461700,2683426,1809111,1395846,1037066,894009,806724,891320
青海,5923957,3033846,2890111,158767,335377,688488,723823,757029,525849,336128,284086,247560,214748,208478,210668
宁夏,7202654,3668938,3533716,95386,253705,573949,702359,1083467,816899,524893,435124,331845,313626,306582,296815
新疆,25852345,13354380,12497965,175575,301073,2146091,2360102,4082642,3317801,1846724,1541484,1273184,1258738,899146,843629
